#{"t_start": 1642371885.697059, "env_id": null}
r,l,t
0.087356,12,1.634733
0.664384,12,1.664183
0.431255,12,1.683833
0.447002,12,1.703401
0.224665,12,1.722898
0.100233,12,1.739484
0.86001,12,1.756136
0.564945,12,1.77498
0.286045,12,1.793253
0.148251,12,1.813309
0.081309,12,1.832252
0.399284,12,1.851216
0.119706,12,1.86799
0.468304,12,1.884985
0.499425,12,1.900894
0.513336,12,1.918214
0.560763,12,1.934258
0.615811,12,1.949518
0.45151,12,1.965518
0.899383,12,1.982331
0.107,12,2.000746
0.530937,12,2.016579
0.574748,12,2.035505
0.864435,12,2.053259
0.411262,12,2.072426
0.407293,12,2.089801
0.40527,12,2.106477
0.682228,12,2.123493
0.468465,12,2.151928
0.311863,12,2.193495
0.493546,12,2.230649
0.210104,12,2.251661
0.508506,12,2.275684
0.374851,12,2.294662
0.668058,12,2.329636
0.32158,12,2.361201
0.33214,12,2.384971
0.465701,12,2.411446
0.735209,12,2.442767
0.675306,12,2.471842
0.652509,12,2.504826
0.255691,12,2.545306
0.754552,12,2.571759
0.338,12,2.58879
0.574964,12,2.60761
0.193905,12,2.630946
0.366295,12,2.650802
0.539626,12,2.66891
0.298848,12,2.688219
0.657301,12,2.708258
0.498825,12,2.724282
0.207752,12,2.747224
0.198207,12,2.776276
0.536826,12,2.794456
0.28725,12,2.814105
0.504425,12,2.842535
0.50964,12,2.873928
0.497833,12,2.890661
0.63215,12,2.907489
0.376139,12,2.924066
0.681697,12,2.942105
0.311214,12,2.959069
0.908138,12,2.975418
0.523127,12,2.993972
0.047859,12,3.011221
0.395815,12,3.032472
0.38692,12,3.049948
0.431086,12,3.066444
0.200223,12,3.083444
0.211761,12,3.09972
0.757485,12,3.118731
0.830829,12,3.148991
0.284131,12,3.165582
0.571983,12,3.185833
0.571426,12,3.204797
0.501551,12,3.222404
0.681867,12,3.240499
0.085755,12,3.26048
0.430351,12,3.27819
0.637402,12,3.308547
0.795665,12,3.33647
0.17846,12,3.360381
0.358792,12,3.383695
0.335614,12,3.414193
0.219545,12,3.439175
0.434421,12,3.465362
0.495544,12,3.485382
0.398248,12,3.51023
0.166256,12,3.539294
0.514092,12,3.559256
0.624418,12,3.580355
0.50825,12,3.599875
0.81256,12,3.620134
0.183149,12,3.644049
0.356521,12,3.664091
0.469818,12,3.689229
0.514964,12,3.714666
0.472066,12,3.735963
0.276047,12,3.753012
0.469212,12,3.775967
0.072305,12,3.797043
0.142183,12,3.817238
0.335608,12,3.834918
0.163136,12,3.852115
0.305617,12,3.869359
0.305352,12,3.886395
0.666857,12,3.913528
0.691771,12,3.932528
0.448992,12,3.955391
0.081457,12,3.979703
0.44814,12,4.001307
0.864784,12,4.022759
0.24178,12,4.052758
0.028187,12,4.07373
0.164178,12,4.101346
0.209514,12,4.125119
0.362641,12,4.151479
0.296784,12,4.174267
0.679911,12,4.196991
0.586939,12,4.221474
0.457611,12,4.243215
0.368867,12,4.27203
0.103484,12,4.291605
0.491828,12,4.310568
0.646562,12,4.331556
0.347239,12,4.35479
0.247583,12,4.377962
0.581901,12,4.395987
0.756017,12,4.414077
0.815082,12,4.43389
0.542518,12,4.454023
0.61984,12,4.473984
0.656705,12,4.490986
0.450988,12,4.507988
0.540274,12,4.525001
0.450803,12,4.545768
0.341049,12,4.567806
0.738109,12,4.585458
0.450486,12,4.605217
0.213286,12,4.630151
0.649467,12,4.656459
0.173035,12,4.687861
